Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","03/12/2023 02:29"
"Last updated:","03/12/2023 02:29"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:",Solutions
"Data table contains the following:",Solutions
"Content type","Total flow figures"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=56trCL
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Solution types included","RET,RDP,RST,NAT"
Years:
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Returned refugees","Returned IDPss","Resettlement arrivals",Naturalisation
2018,"South Sudan",SSD,Kenya,KEN,4631,-,-,-
2018,"South Sudan",SSD,Sudan,SDN,5215,-,-,-
2018,"South Sudan",SSD,Uganda,UGA,83634,-,-,-
2018,Sudan,SDN,Egypt,EGY,20,-,-,-
2018,Sudan,SDN,Chad,TCD,1759,-,-,-
2018,Sudan,SDN,Indonesia,IDN,5,-,-,-
2018,Sudan,SDN,Israel,ISR,20,-,-,-
2018,"Syrian Arab Rep.",SYR,Egypt,EGY,309,-,-,-
2018,"Syrian Arab Rep.",SYR,Iraq,IRQ,10760,-,-,-
2018,"Syrian Arab Rep.",SYR,Jordan,JOR,8099,-,-,-
2018,"Syrian Arab Rep.",SYR,Lebanon,LBN,14496,-,-,-
2018,"Syrian Arab Rep.",SYR,Türkiye,TUR,177282,-,-,29000
2018,Ukraine,UKR,Kyrgyzstan,KGZ,5,-,-,-
2018,Uzbekistan,UZB,Kazakhstan,KAZ,5,-,-,-
2018,"Venezuela (Bolivarian Republic of)",VEN,"Trinidad and Tobago",TTO,5,-,-,-
2018,Zimbabwe,ZWE,Botswana,BWA,21,-,-,-
2018,Afghanistan,AFG,Australia,AUS,-,-,725,-
2018,Afghanistan,AFG,Canada,CAN,-,-,1858,934
2018,Afghanistan,AFG,Finland,FIN,-,-,6,-
2018,Afghanistan,AFG,France,FRA,-,-,5,75
